분류명,area_code,region_code
경북>봉화군,510230,47920000
경북>울진군,510231,47930000
경북>울릉군,510232,47940000
경남>(구)창원시,510234,48110000
경남>창원시,510235,48120000
경남>마산시,510236,48160000
경남>진주시,510237,48170000
경남>진해시,510238,48190000
경남>통영시,510239,48220000
경남>사천시,510240,48240000
경남>김해시,510241,48250000
경남>밀양시,510242,48270000
경남>거제시,510243,48310000
경남>양산시,510244,48330000
경남>의령군,510245,48720000
경남>함안군,510246,48730000
경남>창녕군,510247,48740000
경남>고성군,510248,48820000
경남>남해군,510249,48840000
경남>하동군,510250,48850000
경남>산청군,510251,48860000
경남>함양군,510252,48870000
경남>거창군,510253,48880000
경남>합천군,510254,48890000
(구)제주>(구)제주시,510256,49110000
(구)제주>(구)서귀포시,510257,49130000
(구)제주>(구)북제주군,510258,49710000
(구)제주>(구)남제주군,510259,49720000
제주>제주시,510261,50110000
제주>서귀포시,510262,50130000
경기>수원시>장안구,520089,41111000
경기>수원시>권선구,520090,41113000
경기>수원시>팔달구,520091,41115000
경기>수원시>영통구,520092,41117000
경기>성남시>수정구,520094,41131000
경기>성남시>중원구,520095,41133000
경기>성남시>분당구,520096,41135000
경기>안양시>만안구,520099,41171000
경기>안양시>동안구,520100,41173000
경기>부천시>(구)원미구,520102,41195000
경기>부천시>(구)소사구,520103,41197000
경기>부천시>(구)오정구,520104,41199000
경기>안산시>상록구,520109,41271000
경기>안산시>단원구,520110,41273000
경기>고양시>덕양구,520112,41281000
경기>고양시>일산동구,520113,41285000
경기>고양시>일산서구,520114,41287000
경기>용인시>처인구,520124,41461000
경기>용인시>기흥구,520125,41463000
경기>용인시>수지구,520126,41465000
충북>청주시>상당구,520161,43111000
충북>청주시>서원구,520162,43112000
충북>청주시>흥덕구,520163,43113000
충북>청주시>청원구,520164,43114000
충북>(구)청주시>(구)상당구,520166,43111009
충북>(구)청주시>(구)흥덕구,520167,43113009
충남>천안시>동남구,520181,44131000
충남>천안시>서북구,520182,44133000
전북>전주시>완산구,520201,52111000
전북>전주시>덕진구,520202,52113000
경북>포항시>남구,520241,47111000
경북>포항시>북구,520242,47113000
경남>창원시>의창구,520268,48121000
경남>창원시>성산구,520269,48123000
경남>창원시>마산합포구,520270,48125000
경남>창원시>마산회원구,520271,48127000
경남>창원시>진해구,520272,48129000
경기>부천시>원미구,520273,41192000
경기>부천시>소사구,520274,41194000
경기>부천시>오정구,520275,41196000
