분류명,area_code,region_code
경기>경부2권>용인시>기흥구,530057,41463000
경기>경부2권>용인시>수지구,530058,41465000
경기>경부2권>수원시>장안구,530060,41111000
경기>경부2권>수원시>권선구,530061,41113000
경기>경부2권>수원시>팔달구,530062,41115000
경기>경부2권>수원시>영통구,530063,41117000
경기>서해안권>안산시>상록구,530067,41271000
경기>서해안권>안산시>단원구,530068,41273000
경기>경의권>고양시>덕양구,530085,41281000
경기>경의권>고양시>일산동구,530086,41285000
경기>경의권>고양시>일산서구,530087,41287000
경기>서해안권>부천시>원미구,530088,41192000
경기>서해안권>부천시>소사구,530089,41194000
경기>서해안권>부천시>오정구,530090,41196000
