apt_detail_id,apt_id,road_address,jibun_address,zip_code,code_sale_nm,code_heat_nm,total_household_cnt,total_building_cnt,highest_floor,use_approval_date,total_parking_cnt,builder_name,developer_name,manage_type,hallway_type,subway_time,subway_line,subway_station,educationfacility,geometry,created_at,updated_at,is_deleted
2967,2967,서울특별시 강남구 광평로10길 6,서울특별시 강남구 일원동 731 한솔마을,06359,분양,지역난방,570,19,5,1994-06-03,126,"(주)건영,삼익주택,라이프주택","건영종합건설, 삼익주택,라이프주택",자치관리,계단식,5~10분이내,3호선,일원,초등학교(대모) 중학교(대왕중) 고등학교(서울로봇),,,,f
2968,2968,서울특별시 강남구 광평로10길 15,서울특별시 강남구 일원동 734 상록수아파트,06360,분양,지역난방,740,22,5,1993-03-27,0,"남광, 대우","남광토건, 대우",위탁관리,계단식,5~10분이내,3호선,일원,초등학교(대모) 중학교(대왕중) 고등학교(서울로봇),,,,f
3018,3011,서울특별시 송파구 석촌호수로 74,서울특별시 송파구 잠실동 208-4 잠실엘타워,05559,임대,개별난방,298,2,25,2022-10-13,86,한양산업개발,금강개발,위탁관리,복도식,5분이내,2호선,잠실새내역,,,,,f
3019,3019,서울특별시 송파구 올림픽로4길 42,"서울특별시 송파구 잠실동 101-1 잠실우성1,2,3차",05571,분양,지역난방,1842,26,15,1981-12-08,0,우성,우성,위탁관리,혼합식,5분이내,"2호선, 9호선",,초등학교(아주초등) 중학교(아주중교) 고등학교(정신여고),,,,f
2979,2979,서울특별시 강남구 광평로39길 3,서울특별시 강남구 수서동 738 수서동익,06352,분양,지역난방,330,4,15,1993-11-26,157,동익건설(주),동익건설(주),위탁관리,계단식,5~10분이내,"3호선, 분당선",수서역,초등학교() 중학교() 고등학교(),,,,f
2980,2980,서울특별시 강남구 남부순환로 2740,서울특별시 강남구 도곡동 462- 개포럭키아파트,,분양,지역난방,128,2,8,1986-10-27,0,럭키개발,럭키,위탁관리,계단식,5분이내,3호선,,,,,,f
2981,2981,서울특별시 강남구 언주로 203,서울특별시 강남구 도곡동 966 매봉삼성아파트,06274,분양,개별난방,132,1,22,1999-01-06,87,삼성중공업,도곡연합주택조합,위탁관리,계단식,5~10분이내,"3호선, 분당선",매봉역,"초등학교(서울대도초등학교, 중대사대부속초등학교) 중학교(대치중학교) 고등학교(숙명여고) 대학교(KAIST 도곡캠퍼스)",,,,f
2982,2982,서울특별시 강남구 남부순환로365길 33,서울특별시 강남구 도곡동 893-2 도곡한라비발디아파트,06269,분양,지역난방,110,1,20,2016-04-22,0,(주)한라,동신아파트주택재건축정비사업조합,위탁관리,계단식,5~10분이내,"3호선, 신분당선",,,,,,f
2983,2983,서울특별시 강남구 강남대로 256,서울특별시 강남구 도곡동 952 도곡동양재디오빌,06266,분양,개별난방,155,1,15,2004-04-23,123,대우건설,대우건설,위탁관리,복도식,5~10분이내,3호선,양재,초등학교(언주초등학교) 중학교(은광여자중학교) 고등학교(은광여자고등학교),,,,f
2984,2984,서울특별시 강남구 논현로51길 25,서울특별시 강남구 도곡동 964 도곡현대그린,06269,분양,지역난방,171,1,18,2006-10-19,126,현대산업개발,공업진흥청주택조합,자치관리,계단식,10~15분이내,3호선,양재,초등학교(언주초등학교) 중학교(은광여자중학교) 고등학교(은광여자고등학교),,,,f
